Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Sofia,FR,MVPD STB,0,r,,play,title_results,2022-10-29 18:45:39
Sofia,FR,MVPD STB,0,r,,play,title_results,2022-10-29 18:45:39
Sofia,FR,MVPD STB,0,r,,select,title_results,2022-10-29 18:45:36
Sofia,FR,MVPD STB,0,r,,select,title_results,2022-10-29 18:45:36
Sofia,FR,MVPD STB,0,ex,,play,title_results,2022-09-17 18:48:59
Sofia,FR,MVPD STB,0,ex,,play,title_results,2022-09-17 18:48:59
Sofia,FR,MVPD STB,0,ex,,select,title_results,2022-09-17 18:48:55
Sofia,FR,MVPD STB,0,ex,,select,title_results,2022-09-17 18:48:55
Sofia,FR,MVPD STB,0,e,Encanto,select,suggestion_results,2022-09-17 18:47:44
Sofia,FR,MVPD STB,0,e,Encanto,select,suggestion_results,2022-09-17 18:47:44
Sofia,FR,MVPD STB,0,aventure time,,play,title_results,2022-08-07 21:49:31
Sofia,FR,MVPD STB,0,aventure time,,play,title_results,2022-08-07 21:49:31
Sofia,FR,MVPD STB,0,aventure time,,select,title_results,2022-08-07 21:49:16
Sofia,FR,MVPD STB,0,aventure time,,select,title_results,2022-08-07 21:49:16
Sofia,FR,MVPD STB,0,aventure time,,select,suggestion_results,2022-08-07 21:48:52
Sofia,FR,MVPD STB,0,aventure time,,select,suggestion_results,2022-08-07 21:48:52
Sofia,FR,MVPD STB,0,aventure time,,select,suggestion_results,2022-08-07 21:48:18
Sofia,FR,MVPD STB,0,aventure time,,select,suggestion_results,2022-08-07 21:48:18
Sofia,FR,MVPD STB,0,aventure ti,Adventure Time: My Two Favorite People,select,suggestion_results,2022-08-07 21:47:11
Sofia,FR,MVPD STB,0,aventure ti,Adventure Time: My Two Favorite People,select,suggestion_results,2022-08-07 21:47:11
Sofia,FR,MVPD STB,0,,,play,prequery_results,2022-07-29 22:29:29
Sofia,FR,MVPD STB,0,,,play,prequery_results,2022-07-29 22:16:01
Sofia,FR,MVPD STB,0,,,select,prequery_results,2022-07-29 22:15:56
Sofia,FR,MVPD STB,0,poursuis tes ,A Second Chance: Rivals!,play,title_results,2022-07-15 20:05:25
Sofia,FR,MVPD STB,0,poursuis tes ,A Second Chance: Rivals!,play,title_results,2022-07-15 20:05:25
Sofia,FR,MVPD STB,0,poursuis tes ,A Second Chance: Rivals!,play,title_results,2022-07-15 18:59:42
Sofia,FR,MVPD STB,0,poursuis tes ,A Second Chance: Rivals!,play,title_results,2022-07-15 18:59:42
Sofia,FR,MVPD STB,0,poursuis tes ,A Second Chance: Rivals!,select,title_results,2022-07-15 18:59:38
Sofia,FR,MVPD STB,0,poursuis tes ,A Second Chance: Rivals!,select,title_results,2022-07-15 18:59:38
Sofia,FR,MVPD STB,0,,,play,suggestion_results,2022-07-15 18:57:28
Sofia,FR,MVPD STB,0,,,select,suggestion_results,2022-07-15 18:57:22
Sofia,FR,MVPD STB,0,,,select,suggestion_results,2022-07-15 18:57:14
Sofia,FR,MVPD STB,0,,,play,prequery_results,2022-07-13 22:22:02
Sofia,FR,MVPD STB,0,,,select,prequery_results,2022-07-13 22:21:57
Sofia,FR,MVPD STB,0,,,play,,2022-07-11 13:32:50
Sofia,FR,MVPD STB,0,,,play,,2022-07-11 13:32:37
Sofia,FR,MVPD STB,0,,,select,,2022-07-11 13:32:32
Sofia,FR,MVPD STB,0,,,select,suggestion_results,2022-07-11 13:31:42
Sofia,FR,MVPD STB,0,,,play,suggestion_results,2022-07-11 13:31:13
Sofia,FR,MVPD STB,0,,,select,suggestion_results,2022-07-11 13:31:08
Sofia,FR,MVPD STB,0,,,select,suggestion_results,2022-07-11 13:30:58
Sofia,FR,MVPD STB,0,,,select,suggestion_results,2022-07-11 13:29:46
Sofia,FR,MVPD STB,0,,,play,prequery_results,2022-07-10 13:30:41
Sofia,FR,MVPD STB,0,,,select,prequery_results,2022-07-10 13:30:37
Sofia,FR,MVPD STB,0,gumball,,play,title_results,2022-07-10 13:23:03
Sofia,FR,MVPD STB,0,gumball,,play,title_results,2022-07-10 13:23:03
Sofia,FR,MVPD STB,0,gumball,,select,title_results,2022-07-10 13:22:59
Sofia,FR,MVPD STB,0,gumball,,select,title_results,2022-07-10 13:22:59
Sofia,FR,MVPD STB,0,gumball,Gumball 3000: Coast to Coast,select,suggestion_results,2022-07-10 13:21:56
Sofia,FR,MVPD STB,0,gumball,Gumball 3000: Coast to Coast,select,suggestion_results,2022-07-10 13:21:56
Sofia,FR,MVPD STB,0,gumball,,select,suggestion_results,2022-07-10 13:19:40
Sofia,FR,MVPD STB,0,gumball,,select,suggestion_results,2022-07-10 13:19:40
Sofia,FR,MVPD STB,0,,,play,prequery_results,2022-06-21 21:17:08
Sofia,FR,MVPD STB,0,,,select,prequery_results,2022-06-21 21:17:05
Sofia,FR,HTML 5,0,peppa pig,,play,title_results,2022-05-14 21:49:24
Sofia,FR,HTML 5,0,peppa pig,,play,title_results,2022-05-14 21:49:24
Sofia,FR,MVPD STB,0,ba,Pinkfong & Baby Shark's Space Adventure,play,title_results,2022-05-11 16:16:05
Sofia,FR,MVPD STB,0,ba,Pinkfong & Baby Shark's Space Adventure,select,title_results,2022-05-11 16:16:02
Sofia,FR,MVPD STB,0,pa,,play,title_results,2022-05-11 16:10:57
Sofia,FR,MVPD STB,0,pa,,select,title_results,2022-05-11 16:10:54
Sofia,FR,MVPD STB,0,pa,,play,title_results,2022-05-11 16:06:52
Sofia,FR,MVPD STB,0,pa,,select,title_results,2022-05-11 16:06:49
Sofia,FR,MVPD STB,0,batte,,play,title_results,2022-04-29 12:59:10
Sofia,FR,MVPD STB,0,batte,,select,title_results,2022-04-29 12:59:06
Sofia,FR,MVPD STB,0,,,play,prequery_results,2022-04-28 21:10:02
Sofia,FR,MVPD STB,0,,,select,prequery_results,2022-04-28 21:09:39
Sofia,FR,MVPD STB,0,batte,,play,title_results,2022-04-28 20:59:51
Sofia,FR,MVPD STB,0,batte,,select,title_results,2022-04-28 20:59:48
Sofia,FR,MVPD STB,0,batte,,play,title_results,2022-04-28 20:59:32
Sofia,FR,MVPD STB,0,batte,,select,title_results,2022-04-28 20:59:29
Sofia,FR,MVPD STB,0,,,play,prequery_results,2022-04-15 19:39:17
Sofia,FR,MVPD STB,0,,,select,prequery_results,2022-04-15 19:39:14
Sofia,FR,MVPD STB,0,tee,,play,title_results,2021-12-26 22:49:18
Sofia,FR,MVPD STB,0,tee,,play,title_results,2021-12-26 22:36:56
Sofia,FR,MVPD STB,0,tee,,play,title_results,2021-12-26 22:36:19
Sofia,FR,MVPD STB,0,tee,,select,title_results,2021-12-26 22:36:16
Sofia,FR,HTML 5,0,gumba,,play,,2021-12-04 20:35:19
Sofia,FR,MVPD STB,0,grin,Dr. Seuss' How the Grinch Stole Christmas,select,suggestion_results,2021-11-28 10:43:48
Sofia,FR,MVPD STB,0,te,,play,title_results,2021-11-01 18:04:51
Sofia,FR,MVPD STB,0,te,,play,title_results,2021-11-01 18:04:00
Sofia,FR,MVPD STB,0,te,,play,title_results,2021-11-01 17:47:28
Sofia,FR,MVPD STB,0,te,,play,title_results,2021-11-01 17:36:26
Sofia,FR,MVPD STB,0,te,,select,title_results,2021-11-01 17:36:23
Sofia,FR,MVPD STB,0,tut,,play,title_results,2021-10-16 20:53:38
Sofia,FR,MVPD STB,0,tut,,play,title_results,2021-10-16 20:53:15
Sofia,FR,MVPD STB,0,tut,,select,title_results,2021-10-16 20:53:10
Sofia,FR,MVPD STB,0,les o,Lemony Snicket's A Series of Unfortunate Events,play,title_results,2021-09-30 17:56:43
