Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Wahil,2022-11-01 22:53:57,00:00:36,Autoplayed: user action: None; ,The Takeover (Extrait) : The Takeover,HOOK,Chrome PC (Cadmium),00:00:50,00:00:50,FR (France)
Wahil,2022-11-01 22:53:42,00:00:14,Autoplayed: user action: None; ,The Takeover (Extrait) : The Takeover,HOOK,Chrome PC (Cadmium),00:00:14,Not latest view,FR (France)
Wahil,2022-11-01 21:20:19,00:00:48,Autoplayed: user action: None; ,À travers ma fenêtre (Extrait) : À travers ma fenêtre,HOOK,Chrome PC (Cadmium),00:00:51,00:00:51,FR (France)
Wahil,2022-11-01 21:16:25,00:02:02,,Bande-annonce 2 : Space Sweepers,TRAILER,Chrome PC (Cadmium),00:02:02,00:02:02,FR (France)
Wahil,2022-11-01 21:15:56,00:00:19,Autoplayed: user action: None; ,Spiderhead (Extrait) : Spiderhead,HOOK,Chrome PC (Cadmium),00:00:19,00:00:19,FR (France)
Wahil,2022-11-01 21:15:28,00:00:16,Autoplayed: user action: None; ,Close (Bande-annonce),TRAILER,Chrome PC (Cadmium),00:00:16,00:00:16,FR (France)
Wahil,2022-11-01 21:14:52,00:00:24,Autoplayed: user action: None; ,Saison 2 (Bande-annonce) : Altered Carbon,TRAILER,Chrome PC (Cadmium),00:00:24,00:00:24,FR (France)
Wahil,2022-11-01 21:14:18,00:00:13,Autoplayed: user action: None; ,Zoe (Bande-annonce),TRAILER,Chrome PC (Cadmium),00:00:13,00:00:13,FR (France)
Wahil,2022-11-01 21:12:33,00:00:37,Autoplayed: user action: None; ,Drive_hook_07_16x9,HOOK,Chrome PC (Cadmium),00:00:37,00:00:37,FR (France)
Wahil,2022-11-01 21:12:10,00:00:15,Autoplayed: user action: None; ,Kate (Extrait) : Kate,HOOK,Chrome PC (Cadmium),00:00:15,00:00:15,FR (France)
Wahil,2022-11-01 21:11:46,00:00:14,Autoplayed: user action: None; ,Atomic Blonde_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:14,00:00:14,FR (France)
Wahil,2022-11-01 21:10:49,00:00:47,Autoplayed: user action: None; ,Bande-annonce : Ava,TRAILER,Chrome PC (Cadmium),00:00:47,00:00:47,FR (France)
Wahil,2022-11-01 21:09:48,00:00:32,Autoplayed: user action: None; ,I Am Mother (Bande-annonce),TRAILER,Chrome PC (Cadmium),00:00:32,00:00:32,FR (France)
Wahil,2022-11-01 21:08:25,00:00:35,Autoplayed: user action: None; ,The Dark Tower_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:35,00:00:35,FR (France)
Wahil,2022-11-01 21:08:12,00:00:08,Autoplayed: user action: None; ,Bright (Bande-annonce),TRAILER,Chrome PC (Cadmium),00:00:18,00:00:18,FR (France)
Wahil,2022-11-01 21:07:53,00:00:10,Autoplayed: user action: None; ,Les Murs vagabonds (Extrait) : Les Murs vagabonds,HOOK,Chrome PC (Cadmium),00:00:10,00:00:10,FR (France)
Wahil,2022-11-01 21:00:19,00:00:13,Autoplayed: user action: None; ,Flanaverse (Teaser),TEASER_TRAILER,Chrome PC (Cadmium),00:00:13,00:00:13,FR (France)
Wahil,2022-11-01 20:58:50,00:00:13,Autoplayed: user action: None; ,Carrie_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:13,00:00:13,FR (France)
Wahil,2022-11-01 20:58:25,00:00:15,Autoplayed: user action: None; ,Grindhouse: Death Proof_hook_05_16x9,HOOK,Chrome PC (Cadmium),00:00:15,00:00:15,FR (France)
Wahil,2022-11-01 18:39:44,00:00:05,Autoplayed: user action: None; ,Saison 2 (Extrait) : Young Royals,HOOK,Chrome PC (Cadmium),00:00:05,00:00:05,FR (France)
Wahil,2022-10-31 21:25:02,00:00:08,Autoplayed: user action: None; ,Bande-annonce : Wild Is the Wind,TRAILER,Chrome PC (Cadmium),00:00:13,00:00:13,FR (France)
Wahil,2022-10-31 21:24:54,00:00:08,Autoplayed: user action: None; ,Bande-annonce : Wild Is the Wind,TRAILER,Chrome PC (Cadmium),00:00:08,Not latest view,FR (France)
Wahil,2022-10-31 20:01:31,00:37:13,,The Watcher: Saison 1: Fantômes (Épisode 7),,Chrome PC (Cadmium),00:49:03,00:49:03,FR (France)
Wahil,2022-10-31 19:24:41,00:33:52,,The Watcher: Saison 1: Dans la pénombre (Épisode 6),,Chrome PC (Cadmium),00:41:22,00:41:22,FR (France)
Wahil,2022-10-31 18:48:17,00:33:27,,The Watcher: Saison 1: Le rasoir d'Ockham (Épisode 5),,Chrome PC (Cadmium),00:46:30,00:46:30,FR (France)
Wahil,2022-10-31 18:21:59,00:25:16,,The Watcher: Saison 1: Les murs ont des yeux (Épisode 4),,Chrome PC (Cadmium),00:41:28,00:41:28,FR (France)
